pid,product_name,brand,product_url,retail_price,discounted_price,product_rating
ABQEJ7YQTNQGMXZV,Momin Libas AK2414 Kashibo Solid Abaya No,Momin Libas,http://www.flipkart.com/momin-libas-ak2414-kashibo-solid-abaya-no/p/itmej7ypx52wk3th?pid=ABQEJ7YQTNQGMXZV,3999,2398,No rating available
ACBEA4494GNXG3TZ,Oye Top With Skirts Girl's  Combo,,http://www.flipkart.com/oye-top-skirts-girl-s-combo/p/itmecjt7xhnghwmz?pid=ACBEA4494GNXG3TZ,749,449,4
ACBEA4495H4WS89A,Oye Top With Skirts Girl's  Combo,,http://www.flipkart.com/oye-top-skirts-girl-s-combo/p/itmecjt7pw6xfygy?pid=ACBEA4495H4WS89A,749,449,4
ACBEA4496CMCQZCU,lil'posh Top With Skirts Girl's  Combo,,http://www.flipkart.com/lil-posh-top-skirts-girl-s-combo/p/itmecjt7gwjvrhrr?pid=ACBEA4496CMCQZCU,1099,659,No rating available
ACBEA4496TX8ZZV4,Oye Top With Skirts Girl's  Combo,,http://www.flipkart.com/oye-top-skirts-girl-s-combo/p/itmecjt7mgh3whq5?pid=ACBEA4496TX8ZZV4,749,449,4
ACBEA4498A9CBFRX,Oye Top With Skirts Girl's  Combo,,http://www.flipkart.com/oye-top-skirts-girl-s-combo/p/itmecjt7g8g6z8fq?pid=ACBEA4498A9CBFRX,749,449,4
ACBEA4498TDPW6JP,lil'posh Top With Skirts Girl's  Combo,,http://www.flipkart.com/lil-posh-top-skirts-girl-s-combo/p/itmecjt7x95fyys3?pid=ACBEA4498TDPW6JP,1099,659,No rating available
ACBEA449AW9GBEUE,Oye Top With Skirts Girl's  Combo,,http://www.flipkart.com/oye-top-skirts-girl-s-combo/p/itmecjt7whpggxqh?pid=ACBEA449AW9GBEUE,749,449,4
ACBEA449EDYHB9ZA,Oye Top With Skirts Girl's  Combo,,http://www.flipkart.com/oye-top-skirts-girl-s-combo/p/itmeahtwxwtmhxzq?pid=ACBEA449EDYHB9ZA,799,479,4
ACBEA449GB89ADNG,Oye Top With Skirts Girl's  Combo,,http://www.flipkart.com/oye-top-skirts-girl-s-combo/p/itmea449fcjhfg6d?pid=ACBEA449GB89ADNG,799,479,4
ACBEA449K34MHNGG,Oye Top With Skirts Girl's  Combo,,http://www.flipkart.com/oye-top-skirts-girl-s-combo/p/itmeahtwt9x2cnxz?pid=ACBEA449K34MHNGG,799,479,4
ACBEA449RNQG3NMX,Oye Top With Skirts Girl's  Combo,,http://www.flipkart.com/oye-top-skirts-girl-s-combo/p/itmecjt7h9nrgwjr?pid=ACBEA449RNQG3NMX,749,449,4
ACBEA449RSHGJ4GE,Oye Top With Skirts Girl's  Combo,,http://www.flipkart.com/oye-top-skirts-girl-s-combo/p/itmea449pdbfkymh?pid=ACBEA449RSHGJ4GE,799,479,4
ACBEA449WHCY6BRR,Oye Top With Skirts Girl's  Combo,,http://www.flipkart.com/oye-top-skirts-girl-s-combo/p/itmecjt7nxnhjhmv?pid=ACBEA449WHCY6BRR,749,449,4
ACBEA449YYQTABFN,Oye Top With Skirts Girl's  Combo,,http://www.flipkart.com/oye-top-skirts-girl-s-combo/p/itmeahtvy9snetw9?pid=ACBEA449YYQTABFN,799,479,4
ACBEA449ZGSRGHXF,Oye Top With Skirts Girl's  Combo,,http://www.flipkart.com/oye-top-skirts-girl-s-combo/p/itmeahtwg89z7zth?pid=ACBEA449ZGSRGHXF,799,479,4
